Designator	Footprint	Mid X	Mid Y	Ref X	Ref Y	Pad X	Pad Y	Layer	Rotation	Comment
"LED1"	"LED0603-R-RD"	"117.06mm"	"54.61mm"	"117.06mm"	"54.61mm"	"116.21mm"	"54.61mm"	"T"	"180"	"ORH-G36G"
"LED2"	"LED0603-R-RD"	"106.05mm"	"54.61mm"	"106.05mm"	"54.61mm"	"105.2mm"	"54.61mm"	"T"	"180"	"ORH-G36G"
"LED3"	"LED0603-R-RD"	"95.03mm"	"54.61mm"	"95.03mm"	"54.61mm"	"94.18mm"	"54.61mm"	"T"	"180"	"ORH-G36G"
"LED4"	"LED0603-R-RD"	"84.02mm"	"54.61mm"	"84.02mm"	"54.61mm"	"83.17mm"	"54.61mm"	"T"	"180"	"ORH-G36G"
"LED5"	"LED0603-R-RD"	"73mm"	"54.61mm"	"73mm"	"54.61mm"	"72.15mm"	"54.61mm"	"T"	"180"	"ORH-G36G"
"LED6"	"LED0603-R-RD"	"61.99mm"	"54.61mm"	"61.99mm"	"54.61mm"	"61.13mm"	"54.61mm"	"T"	"180"	"ORH-G36G"
"LED7"	"LED0603-R-RD"	"50.97mm"	"54.61mm"	"50.97mm"	"54.61mm"	"50.12mm"	"54.61mm"	"T"	"180"	"ORH-G36G"
"LED13"	"LED0603-R-RD"	"111.13mm"	"95.5mm"	"111.13mm"	"95.5mm"	"111.98mm"	"95.5mm"	"T"	"0"	"ORH-G36G"
"LED14"	"LED0603-R-RD"	"153.04mm"	"74.42mm"	"153.04mm"	"74.42mm"	"153.04mm"	"75.27mm"	"T"	"90"	"ORH-G36G"
"LED15"	"LED0603-R-RD"	"153.04mm"	"57.87mm"	"153.04mm"	"57.87mm"	"153.04mm"	"58.72mm"	"T"	"90"	"ORH-G36G"
"LED16"	"LED0603-R-RD"	"153.04mm"	"41.32mm"	"153.04mm"	"41.32mm"	"153.04mm"	"42.17mm"	"T"	"90"	"ORH-G36G"
"LED17"	"LED0603-R-RD"	"153.04mm"	"24.77mm"	"153.04mm"	"24.77mm"	"153.04mm"	"25.62mm"	"T"	"90"	"ORH-G36G"
"LED18"	"LED0603-R-RD"	"171.58mm"	"86.87mm"	"171.58mm"	"86.87mm"	"171.58mm"	"86.02mm"	"T"	"270"	"ORH-G36G"
"P1"	"JST_XH_4_PIN_RA"	"31.88mm"	"63.63mm"	"24.51mm"	"69.98mm"	"31.88mm"	"67.44mm"	"T"	"0"	"OPR_SW"
"P3"	"JST_XH_3_PIN_RA"	"125.43mm"	"101.35mm"	"130.51mm"	"108.71mm"	"127.97mm"	"101.35mm"	"T"	"270"	"TEMP1"
"P4"	"JST_XH_3_PIN_RA"	"137.28mm"	"101.35mm"	"142.36mm"	"108.71mm"	"139.82mm"	"101.35mm"	"T"	"270"	"TEMP2"
"P5"	"JST_XH_3_PIN_RA"	"149.12mm"	"101.35mm"	"154.2mm"	"108.71mm"	"151.66mm"	"101.35mm"	"T"	"270"	"TEMP3"
"P6"	"JST_XH_4_PIN_RA"	"31.88mm"	"49.15mm"	"24.51mm"	"55.5mm"	"31.88mm"	"52.96mm"	"T"	"0"	"RESET_SW"
"P7"	"JST_XH_4_PIN_RA"	"31.88mm"	"78.11mm"	"24.51mm"	"84.46mm"	"31.88mm"	"81.92mm"	"T"	"0"	"ANT_SW"
"P8"	"JST_XH_4_PIN_RA"	"31.88mm"	"34.67mm"	"24.51mm"	"41.02mm"	"31.88mm"	"38.48mm"	"T"	"0"	"BAND_SW"
"P9"	"JST_XH_4_PIN_RA"	"185.93mm"	"101.35mm"	"192.28mm"	"108.71mm"	"189.74mm"	"101.35mm"	"T"	"270"	"NEXTION 7"
